선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
손아섭,NC,0.344,121,533,482,84,166,32,3,5,219,64,1,5
홍창기,LG,0.342,126,586,473,104,162,34,2,1,203,63,3,5
김혜성,키움,0.335,134,609,546,102,183,28,6,7,244,55,0,5
에레디아,SSG,0.327,105,449,407,64,133,24,0,12,193,70,1,1
구자욱,삼성,0.326,104,451,396,53,129,33,1,8,188,61,2,3
양의지,두산,0.318,111,446,380,46,121,21,0,14,184,57,0,3
박민우,NC,0.317,107,446,401,64,127,19,6,1,161,37,4,2
김선빈,KIA,0.316,98,383,342,31,108,14,0,0,122,41,6,2
박건우,NC,0.314,113,472,405,63,127,29,2,11,193,73,1,4
오스틴,LG,0.311,124,527,472,77,147,28,2,20,239,89,0,6
문보경,LG,0.304,126,528,457,76,139,28,5,10,207,71,9,4
박찬호,KIA,0.302,119,465,414,64,125,18,3,3,158,48,7,5
전준우,롯데,0.3,120,478,420,64,126,17,3,14,191,66,0,7
최형우,KIA,0.299,120,505,428,64,128,27,1,17,208,81,0,4
노시환,한화,0.298,126,573,494,83,147,29,1,31,271,99,0,3
김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5
최정,SSG,0.296,121,525,449,89,133,31,0,26,242,84,1,6
윤동희,롯데,0.296,100,390,358,41,106,16,1,2,130,39,2,5
안치홍,롯데,0.294,115,480,411,56,121,19,1,8,166,62,5,5
김현수,LG,0.294,117,505,445,50,131,20,2,5,170,81,1,7
문성주,LG,0.293,119,483,409,72,120,17,4,2,151,48,5,3
김현준,삼성,0.293,93,416,376,53,110,8,5,3,137,40,7,1
알포드,KT,0.288,120,493,441,78,127,29,2,14,202,62,0,2
마틴,NC,0.287,98,422,366,47,105,19,2,14,170,73,0,7
강민호,삼성,0.287,113,447,387,54,111,16,0,15,172,67,1,4
박해민,LG,0.286,127,498,430,74,123,12,2,4,151,48,23,1
정수빈,두산,0.283,120,514,441,65,125,13,9,2,162,31,12,2
소크라테스,KIA,0.281,121,520,462,77,130,25,3,17,212,77,0,7
장성우,KT,0.279,119,421,376,37,105,21,0,11,159,61,3,5
피렐라,삼성,0.279,123,537,498,56,139,25,1,13,205,69,0,1
